"title","platform","creator_name","creator_url","source_url","embed_url","thumbnail_url","github_url","categories","source_type","embed_status","publication_status","weight","collected_from","collected_category","collected_at"
"Text Splitter Playground","Streamlit","langchain-ai","https://github.com/langchain-ai","https://langchain-text-splitter.streamlit.app","https://langchain-text-splitter.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/888afdc5-0569-4857-97e5-ade44bda123e/Home_Page.png","https://github.com/langchain-ai/text-split-explorer","Trending; LLMs","curated","unverified","review","21788","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"snowChat","Streamlit","kaarthik108","https://github.com/kaarthik108","https://snowchat.streamlit.app","https://snowchat.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/bd32b186-f526-4f68-b833-c23a84dbbb93/Home_Page.png","https://github.com/kaarthik108/snowchat","Snowflake powered; LLMs","curated","unverified","review","21455","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"rephraise","Streamlit","stefanrmmr","https://github.com/stefanrmmr","https://stefanrmmr-gpt3-email-generator-streamlit-app-ku3fbq.streamlit.app","https://stefanrmmr-gpt3-email-generator-streamlit-app-ku3fbq.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/1bd2ddab-23c5-4d0b-8eb2-b0ef3f00616f/Home_Page.png","https://github.com/stefanrmmr/gpt3_email_generator","Favorites; LLMs","curated","unverified","review","21324","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Rascore","Streamlit","mitch-parker","https://github.com/mitch-parker","https://rascore.streamlit.app","https://rascore.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/8bf5f845-b2d5-4d61-b517-146698e1c9c0/Home_Page.png","https://github.com/mitch-parker/rascore","Favorites; Science & technology","curated","unverified","review","21072","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"GZ DECaLS","Streamlit","mwalmsley","https://github.com/mwalmsley","https://mwalmsley-galaxy-poster-gz-decals-mike-walmsley-3pax35.streamlit.app","https://mwalmsley-galaxy-poster-gz-decals-mike-walmsley-3pax35.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/24162c24-0979-47ad-a752-6ba6e554fdeb/Home_Page.png","https://github.com/mwalmsley/galaxy-poster","Science & technology","curated","unverified","review","19658","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"COVID19: EpiCenter for Disease Dynamics","Streamlit","panditpranav","https://github.com/panditpranav","https://panditpranav-svm-covid-tracking-covid-app-ztljjx.streamlit.app","https://panditpranav-svm-covid-tracking-covid-app-ztljjx.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/216f4213-92e6-461d-89ac-3f828e0059af/Home_Page.png","https://github.com/panditpranav/svm_covid_tracking","Geography & society","curated","unverified","review","18931","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"ADRF ROM BOM Tool","Streamlit","dasengineering","https://github.com/dasengineering","https://dasengineering-adrf-rom-bom-tool-adrf-rombom-tool-x7ws0w.streamlit.app","https://dasengineering-adrf-rom-bom-tool-adrf-rombom-tool-x7ws0w.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/d67c29d7-7da1-4c89-8eb8-e8029ad823d8/Home_Page.png","https://github.com/dasengineering/adrf-rom-bom-tool","Finance & business","curated","unverified","review","18790","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"🦜🔗 Text Summarization App","Streamlit","dataprofessor","https://github.com/dataprofessor","https://langchain-text-summarization.streamlit.app","https://langchain-text-summarization.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/f564f8d2-7cd9-4c04-96ad-4711cbf7e0d5/Home_Page.png","https://github.com/dataprofessor/langchain-text-summarization","LLMs","curated","unverified","review","17768","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Euro2024 Pots","Streamlit","canergunduz","https://github.com/canergunduz","https://euro2024pots.streamlit.app","https://euro2024pots.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/12f75037-bce9-41d7-98cd-1403f0472a45/Home_Page.png","https://github.com/canergunduz/euro2024_pots","Sports & fun","curated","unverified","review","16522","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Project Eagle Vision","Streamlit","joshmantova","https://github.com/joshmantova","https://project-eagle-vision.streamlit.app","https://project-eagle-vision.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/eb4783e9-b86d-4613-9fe3-e75cc43667f5/Home_Page.png","https://github.com/joshmantova/eagle-vision","Other","curated","unverified","review","15508","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Sophisticated Pallette","Streamlit","syasini","https://github.com/syasini","https://sophisticated-palette.streamlit.app","https://sophisticated-palette.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/8755274e-2ea0-440b-84b9-0b8cd62d108b/Home_Page.png","https://github.com/syasini/sophisticated_palette","Trending","curated","unverified","review","15386","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"LangChain: Chat with pandas DataFrame","Streamlit","amjadraza","https://github.com/amjadraza","https://chat-pandas-df.streamlit.app","https://chat-pandas-df.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/66a27177-239e-457b-8230-51d26aa36fc2/Home_Page.png","https://github.com/amjadraza/streamlit-agent","Trending; LLMs","curated","unverified","review","14641","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Chat2VIS","Streamlit","frog-land","https://github.com/frog-land","https://chat2vis.streamlit.app","https://chat2vis.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/d720a0b7-5bed-4472-b715-c00490728d78/Home_Page.png","https://github.com/frog-land/chat2vis","Trending; LLMs","curated","unverified","review","14240","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"AntiGPT Detect AI generated text easily","Streamlit","raihankhan-rk","https://github.com/raihankhan-rk","https://antigpt.streamlit.app","https://antigpt.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/417f1662-7731-4671-8df7-ded3f75acd10/Home_Page.png","https://github.com/raihankhan-rk/antigpt","LLMs","curated","unverified","review","13632","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Answer Generator for People Also Ask (PAA) Boxes | made by OrangeValley","Streamlit","koenleemans","https://github.com/koenleemans","https://people-also-ask-generator.streamlit.app","https://people-also-ask-generator.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/e2c456d5-be2d-4cec-8e2f-9af6162709fa/Home_Page.png","https://github.com/koenleemans/paa","Trending; LLMs","curated","unverified","review","12527","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"asciiGan","Streamlit","jojo96","https://github.com/jojo96","https://jojo96-asciigan-asciigan-z6pv4q.streamlit.app","https://jojo96-asciigan-asciigan-z6pv4q.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/f23e97b3-693d-4704-86fc-cba80feecb0e/Home_Page.png","https://github.com/jojo96/asciigan","Other","curated","unverified","review","11493","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"options-2-trees","Streamlit","t0nychn","https://github.com/t0nychn","https://t0nychn-options-2-trees-final-uq4fog.streamlit.app","https://t0nychn-options-2-trees-final-uq4fog.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/fa3b7e01-9207-47e0-8756-be079626ea31/Home_Page.png","https://github.com/t0nychn/options-2-trees","Finance & business","curated","unverified","review","10740","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Migration Network","Streamlit","mpkrass7","https://github.com/mpkrass7","https://statesmigrate.streamlit.app","https://statesmigrate.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/8499797d-d57f-47e4-8663-313b754c9f65/Home_Page.png","https://github.com/mpkrass7/solid-octo-robot","Geography & society","curated","unverified","review","10127","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Free Sports League Schedule Generator","Streamlit","nathanseltzer","https://github.com/nathanseltzer","https://sports-schedule-generator.streamlit.app","https://sports-schedule-generator.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/b7a69147-15f4-4765-a68f-c78206da088f/Home_Page.png","https://github.com/nathanseltzer/sports-schedule-generator","Trending; Sports & fun","curated","unverified","review","9936","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Instant Insight","Streamlit","arsentievalex","https://github.com/arsentievalex","https://arsentievalex-instant-insight-web-app-main-gz753r.streamlit.app","https://arsentievalex-instant-insight-web-app-main-gz753r.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/ba819fd9-0cbb-401a-9136-9fe3fcb23111/Home_Page.png","https://github.com/arsentievalex/instant-insight-web-app","LLMs; Snowflake powered ❄️","curated","unverified","review","9799","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Webb Space Telescope vs Hubble Telescope","Streamlit","streamlit","https://github.com/streamlit","https://webb-compare.streamlit.app","https://webb-compare.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/0862e1b4-2f74-4ac5-b894-3eadc6a3b4bc/Home_Page.png","https://github.com/streamlit/example-app-image-comparison","Science & technology","curated","unverified","review","9366","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"State of LLM Apps 2023","Streamlit","streamlit","https://github.com/streamlit","https://state-of-llm.streamlit.app","https://state-of-llm.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/16f258d6-ec9d-4407-92ac-fd7a256f4a7c/Home_Page.png","https://github.com/streamlit/llm-report","Trending; LLMs","curated","unverified","review","9138","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"The Dungeon","Streamlit","tomjohnh","https://github.com/tomjohnh","https://dungeon.streamlit.app","https://dungeon.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/dc228b1c-992d-4776-80c5-3f79de45a6f3/Home_Page.png","https://github.com/tomjohnh/streamlit-dungeon","Trending; Sports & fun","curated","unverified","review","8832","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
